Genus1974,Family1974
Colopteryx,Tyrannidae
Colorhamphus,Tyrannidae
Columba,Columbidae
Columbina,Columbidae
Compospiza,Fringillidae
Conirostrum,Coerebidae
Conopias,Tyrannidae
Conopoderas,Sylviidae
Conopophaga,Conopophagidae
Conopophila,Meliphagidae
Conostoma,Paradoxornithidae
Conothraupis,Thraupidae
Contopus,Tyrannidae
Copsychus,Turdidae
Coracias,Coraciidae
Coracina,Campephagidae
Coracopsis,Psittacidae
Coragyps,Cathartidae
Corapipo,Pipridae
Corcorax,Grallinidae
Corvinella,Laniidae
Corvus,Corvidae
Corydon,Eurylaimidae
Coryphaspiza,Fringillidae
Coryphistera,Furnariidae
Reinwardtoena,Columbidae
Coryphospingus,Fringillidae
Corythaeola,Musophagidae
Corythornis,Alcedinidae
Corythopis,Conopophagidae
Coscoroba,Anatidae
Cosmopsarus,Sturnidae
Cossypha,Turdidae
Cotinga,Cotingidae
Coturnicops,Rallidae
Coturnix,Phasianidae
Coua,Cuculidae
Cracticus,Cracticidae
Cranioleuca,Furnariidae
Crax,Cracidae
Philesturnus,Callaeidae
Creagrus,Laridae
Creatophora,Sturnidae
Crex,Rallidae
Creurgops,Thraupidae
Cyornis,Muscicapidae
Crinifer,Musophagidae
Cyphorhinus,Troglodytidae
Criniger,Pycnonotidae
Cypseloides,Apodidae
Diuca,Fringillidae
Cypsiurus,Apodidae
Dives,Icteridae
Serinus,Fringillidae
Cypsnagra,Thraupidae
Dolichonyx,Icteridae
Cyrtonyx,Phasianidae
Doliornis,Cotingidae
Dolospingus,Fringillidae
Crocias,Timaliidae
Dacelo,Alcedinidae
Crossoptilon,Phasianidae
Dacnis,Coerebidae
Lorius,Psittacidae
Crotophaga,Cuculidae
Dactylortyx,Phasianidae
Donacobius,Mimidae
Crypsirina,Corvidae
Damophila,Trochilidae
Donacospiza,Fringillidae
Cryptophaps,Columbidae
Daphoenositta,Neosittidae
Dontospiza,Ploceidae
Daption,Procellariidae
Doricha,Trochilidae
Perdicula,Phasianidae
Daptrius,Falconidae
Doryfera,Trochilidae
Cryptospiza,Ploceidae
Drepanoptila,Columbidae
Crypturellus,Tinamidae
Phaenicophaeus,Cuculidae
Drepanoplectes,Ploceidae
Cuculus,Cuculidae
Dasyornis,Sylviidae
Drepanornis,Paradisaeidae
Culicicapa,Muscicapidae
Deconychura,Dendrocolaptidae
Dromaeocercus,Sylviidae
Culicivora,Tyrannidae
Delichon,Hirundinidae
Dromas,Dromadidae
Curaeus,Icteridae
Deltarhynchus,Tyrannidae
Dromaius,Dromaiidae
Cursorius,Glareolidae
Demigretta,Ardeidae
Dromococcyx,Cuculidae
Cutia,Timaliidae
Dendragapus,Tetraonidae
Drymocichla,Sylviidae
Cyanerpes,Coerebidae
Dendrexetastes,Dendrocolaptidae
Drymodes,Turdidae
Cyanicterus,Thraupidae
Dendrocincla,Dendrocolaptidae
Drymophila,Formicariidae
Cyanochen,Anatidae
Dendrocitta,Corvidae
Drymornis,Dendrocolaptidae
Cyanocitta,Corvidae
Dendrocolaptes,Dendrocolaptidae
Cyanocompsa,Fringillidae
Dendrocopos,Picidae
Cyanocorax,Corvidae
Dendrocygna,Anatidae
Dryocopus,Picidae
Dendroica,Parulidae
Dryolimnas,Rallidae
Dendronanthus,Motacillidae
Cyanolanius,Vangidae
Garrulax,Timaliidae
Cyanolimnas,Rallidae
Dryoscopus,Laniidae
Cyanoliseus,Psittacidae
Dryotriorchis,Accipitridae
Cyanoloxia,Fringillidae
Dubusia,Thraupidae
Cyanolyca,Corvidae
Deroptyus,Psittacidae
Ducula,Columbidae
Dulus,Dulidae
Dumetella,Mimidae
Cyanophaia,Trochilidae
Dumetia,Timaliidae
Cyanopica,Corvidae
Lophura,Phasianidae
Dupetor,Ardeidae
Cyanopsitta,Psittacidae
Dicaeum,Dicaeidae
Dyaphorophyia,Muscicapidae
Cyanoptila,Muscicapidae
Dichromanassa,Ardeidae
Dysithamnus,Formicariidae
Cyanoramphus,Psittacidae
Dichrozona,Formicariidae
Dicrocercus,Meropidae
Eclectus,Psittacidae
Erithacus,Turdidae
Dicrurus,Dicruridae
