"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974","Genus2023","Genus1974"
"261","Cerorhinca monocerata","Rhinoceros Auklet","lakwch’ísh","Alcidae","Charadriiformes",48.5,25.5,8.5,17.6,29.4,178.8,92.9,85.8,52,51.2,482.2,"Cerorhinca monocerata","Cerorhinca monocerata","Rhinoceros Auklet","Alcidae","Tlingit",68,"Charadriiformes","Cerorhinca","Cerorhinca"
"262","Columba livia","Rock Pigeon","gus’yá kindachooneidí","Columbidae","Columbiformes",23.2,12.1,4.3,5,26.5,219.6,98.8,120.4,45.1,105.5,354.2,"Columba livia","Columba livia","Rock Dove","Columbidae","Tlingit",69,"Columbiformes","Columba","Columba"
"263","Lagopus muta","Rock Ptarmigan","shaayadaa x’eis’awáayi","Phasianidae","Galliformes",18.9,9.8,6.8,7.5,30.5,188.6,85.8,100.2,46.1,89.8,535.3,"Lagopus muta","Lagopus mutus","Rock Ptarmigan","Tetraonidae","Tlingit",70,"Galliformes","Lagopus","Lagopus"
"264","Buteo lagopus","Rough-legged Hawk","k’ákw","Accipitridae","Accipitriformes",34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,"Buteo lagopus","Buteo lagopus","Rough-legged Hawk","Accipitridae","Tlingit",71,"Falconiformes","Buteo","Buteo"
"265","Bonasa umbellus","Ruffed Grouse","kus’oolgé","Phasianidae","Galliformes",25.4,13.3,10,9.7,42.2,183.2,69.8,112.2,38.3,152,530.9,"Bonasa umbellus","Bonasa umbellus","Ruffed Grouse","Tetraonidae","Tlingit",72,"Galliformes","Bonasa","Bonasa"
"266","Selasphorus rufus","Rufous Hummingbird","dagitgiyáa","Trochilidae","Caprimulgiformes",20.4,15.4,1.6,1.7,2.5,40.7,28.2,13.9,67,29.8,3.5,"Selasphorus rufus","Selasphorus rufus","Rufous Hummingbird","Trochilidae","Tlingit",73,"Apodiformes","Selasphorus","Selasphorus"
"267","Antigone canadensis","Sandhill Crane","dool","Gruidae","Gruiformes",122.9,67.4,10.2,15.9,216.2,477.8,210,270,43.8,175.4,4296.2,"Grus canadensis","Grus canadensis","Sandhill Crane","Gruidae","Tlingit",74,"Gruiformes","Antigone","Grus"
"268","Charadrius semipalmatus","Semipalmated Plover","sedaadak’éedaa","Charadriidae","Charadriiformes",14.5,8.5,3.2,3.7,22.9,118.4,65,51,56,51.8,46.7,"Charadrius semipalmatus","Charadrius semipalmatus","Semipalmated Plover","Charadriidae","Tlingit",75,"Charadriiformes","Charadrius","Charadrius"
"269","Asio flammeus","Short-eared Owl","xéex","Strigidae","Strigiformes",27.3,13.7,9,13,42.5,297.2,141,156.2,47.5,146.5,322.6,"Asio flammeus","Asio flammeus","Short-eared Owl","Strigidae","Tlingit",76,"Strigiformes","Asio","Asio"
"270","Bubo scandiacus","Snowy Owl","kéigán","Strigidae","Strigiformes",44.3,22.2,14.9,22.1,62.2,418.8,172,246.8,41.1,215,2028.8,"Bubo scandiaca","Nyctea scandiaca","Snowy Owl","Strigidae","Tlingit",77,"Strigiformes","Bubo","Nyctea"
"271","Melospiza melodia","Song Sparrow","tlagoo ts’ats’éeyee","Passerellidae","Passeriformes",13.4,8.5,5.3,6.7,21.5,66.3,13.2,52.6,20.1,67.2,21.9,"Melospiza melodia","Zonotrichia melodia","Song Sparrow","Fringillidae","Tlingit",78,"Passeriformes","Melospiza","Zonotrichia"
"272","Ardenna grisea","Sooty Shearwater","ts’agwáan","Procellariidae","Procellariiformes",47.8,31.1,7.8,10,55.8,295.6,181.5,112,61.8,88,787,"Puffinus griseus","Puffinus griseus","Sooty Shearwater","Procellariidae","Tlingit",79,"Procellariiformes ","Ardenna","Puffinus"
"273","Cyanocitta stelleri","Steller's Jay","x’éishx’w","Corvidae","Passeriformes",33.7,21.1,10.2,9.5,43,145.8,20,125.8,13.7,133.2,128,"Cyanocitta stelleri","Cyanocitta stelleri","Steller's Jay","Corvidae","Tlingit",80,"Passeriformes","Cyanocitta","Cyanocitta"
"274","Melanitta perspicillata","Surf Scoter","lak’eech’wú","Anatidae","Anseriformes",58.8,25.2,21.6,15.9,38,226.3,115,109.5,51.2,72.8,1096.3,"Melanitta perspicillata","Melanitta perspicillata","Surf Scoter","Anatidae","Tlingit",81,"Anseriformes","Melanitta","Melanitta"
"275","Catharus ustulatus","Swainson's Thrush","ts’ats’ée tlein","Turdidae","Passeriformes",14.3,9.2,4.6,4.2,29.6,96.6,31.1,66.6,31.8,68.3,30.3,"Catharus ustulatus","Catharus ustulatus","Swainson's Thrush","Turdidae","Tlingit",82,"Passeriformes","Catharus","Catharus"
"276","Setophaga townsendi","Townsend's Warbler","asx’aansháach’i","Parulidae","Passeriformes",12.4,7.4,3,3.2,18.2,63.8,17.7,46.1,27.8,49.5,8.8,"Dendroica townsendi","Dendroica townsendi","Townsend's Warbler","Parulidae","Tlingit",83,"Passeriformes","Setophaga","Dendroica"
"277","Tachycineta bicolor","Tree Swallow","séewkooshdaneit","Hirundinidae","Passeriformes",10.8,5.9,3.8,2.8,12.2,115.9,61.3,54.3,53,54,21.2,"Tachycineta bicolor","Tachycineta bicolor","Tree Swallow","Hirundinidae","Tlingit",84,"Passeriformes","Tachycineta","Tachycineta"
"278","Cygnus buccinator","Trumpeter Swan","gúkl’","Anatidae","Anseriformes",107.6,52.9,33.6,27.7,108.8,625.5,267,358.5,42.7,178,11071.1,"Cygnus buccinator","Olor buccinator","Trumpeter Swan","Anatidae","Tlingit",85,"Anseriformes","Cygnus","Olor"
"279","Fratercula cirrhata","Tufted Puffin","xík","Alcidae","Charadriiformes",56,26.4,10.8,36.1,33.4,194.1,96.6,94.9,50.5,57,774.4,"Fratercula cirrhata","Lunda cirrhata","Tufted Puffin","Alcidae","Tlingit",86,"Charadriiformes","Fratercula","Lunda"
"280","Ixoreus naevius","Varied Thrush","sh’ux’.uwa’","Turdidae","Passeriformes",23.7,15,4.5,6.1,31.1,121.6,40.3,80.4,33.4,85.2,77.5,"Zoothera naevia","Zoothera naevia","Varied Thrush","Turdidae","Tlingit",87,"Passeriformes","Ixoreus","Zoothera"
"281","Tachycineta thalassina","Violet-green Swallow","séewkooshdaneit","Hirundinidae","Passeriformes",9.9,5,3.6,3,11.3,115.5,63.6,53,54.5,48.1,14.1,"Tachycineta thalassina","Tachycineta thalassina","Violet-green Swallow","Hirundinidae","Tlingit",88,"Passeriformes","Tachycineta","Tachycineta"
"282","Calidris mauri","Western Sandpiper","hinxukadzéedzi","Scolopacidae","Charadriiformes",21,15.8,2.3,3.5,21,92.2,45.5,47.5,49,38.4,27.8,"Calidris mauri","Calidris mauri","Western Sandpiper","Scolopacidae","Tlingit",89,"Charadriiformes","Calidris","Calidris"
"283","Numenius phaeopus.1","Whimbrel","ayaheeyáa","Scolopacidae","Charadriiformes",92.1,67.1,6.6,7.7,59.9,233,123.4,107,53.5,99.8,364.6,"Numenius phaeopus","Numenius phaeopus","Whimbrel","Scolopacidae","Tlingit",90,"Charadriiformes","Numenius","Numenius"
"284","Zonotrichia leucophrys","White-crowned Sparrow","tlagoo ts’ats’éeyee","Passerellidae","Passeriformes",15.4,8.4,4.5,6,22.8,78.7,18.5,60.9,23.4,70.6,28,"Zonotrichia leucophrys","Zonotrichia leucophrys","White-crowned Sparrow","Fringillidae","Tlingit",91,"Passeriformes","Zonotrichia","Zonotrichia"
"285","Cardellina pusilla","Wilson's Warbler","asx’aansháach’i","Parulidae","Passeriformes",11.6,6.6,3.2,3.1,17.9,56.3,11.5,44.1,20.7,48.1,7,"Wilsonia pusilla","Wilsonia pusilla","Wilson's Warbler","Parulidae","Tlingit",92,"Passeriformes","Cardellina","Wilsonia"
"286","Gavia adamsii","Yellow-billed Loon","yeekagáaxi","Gaviidae","Gaviiformes",104.8,70.9,10.4,24.1,84.6,371.4,190.2,182.8,51,60.8,4944.3,"Gavia adamsii","Gavia adamsii","Yellow-billed Loon","Gaviidae","Tlingit",93,"Gaviiformes","Gavia","Gavia"
"287","Canachites canadensis","Spruce Grouse","ltaayí","Phasianidae","Galliformes",22.4,11.2,8.2,8.3,35.9,179.5,64.8,115.3,36,111.1,473.7,"Dendragapus canadensis","Canachites canadensis","Spruce Grouse","Tetraonidae","Tlingit",94,"Galliformes","Canachites","Canachites"
"288","Meleagris gallopavo","Wild Turkey","lugeitl’","Phasianidae","Galliformes",48.6,25.9,17.6,15.3,149.2,448.8,115,332.5,26,351.2,5791.4,"Meleagris gallopavo","Meleagris gallopavo","Wild Turkey","Meleagrididae","Tlingit",95,"Galliformes","Meleagris","Meleagris"
"289","Strix nebulosa","Great Gray Owl","k’úkw","Strigidae","Strigiformes",43.7,20.9,11.3,19.1,60,436,139,297,31.9,262.9,1061.9,"Strix nebulosa","Strix nebulosa","Great Gray Owl","Strigidae","Tlingit",96,"Strigiformes","Strix","Strix"
"290","Surnia ulula","Northern Hawk Owl","gutguníksh","Strigidae","Strigiformes",23.2,14.1,8.8,14.2,27.2,231.4,89.5,142,38.6,186.4,319.9,"Surnia ulula","Surnia ulula","Northern Hawk Owl","Strigidae","Tlingit",97,"Strigiformes","Surnia","Surnia"
"291","Corvus brachyrhynchos","American Crow","ts’axweil","Corvidae","Passeriformes",49.9,33.2,13.9,16.6,55,293.5,106.9,186.2,36.5,167.1,448.8,"Corvus brachyrhynchos","Corvus brachyrhynchos","American Crow","Corvidae","Tlingit",98,"Passeriformes","Corvus","Corvus"
"292","Turdus migratorius","American Robin","shoox’","Turdidae","Passeriformes",23.4,12.5,5.6,6.8,32.7,127,36.9,90.3,29,95.7,78.5,"Turdus migratorius","Turdus migratorius","American Robin","Turdidae","Tlingit",99,"Passeriformes","Turdus","Turdus"
"293","Riparia riparia","Bank Swallow","séewkooshdaneit","Hirundinidae","Passeriformes",9.4,5,3.7,2.5,10.5,101.8,54,47.9,53,47.2,12.7,"Riparia riparia","Riparia riparia","Bank Swallow","Hirundinidae","Tlingit",100,"Passeriformes","Riparia","Riparia"
"294","Strix varia","Barred Owl","jinakaxwájaa","Strigidae","Strigiformes",38.8,21.6,11.2,19.6,60.1,341.2,101,240.2,29.6,218.3,711.5,"Strix varia","Strix varia","Barred Owl","Strigidae","Tlingit",101,"Strigiformes","Strix","Strix"
"295","Branta bernicla","Brant","kín","Anatidae","Anseriformes",40.7,21.5,14.8,13.5,55.2,319.6,167.7,152.7,52.3,94,1277.9,"Branta bernicla","Branta bernicla","Brant Goose","Anatidae","Tlingit",102,"Anseriformes","Branta","Branta"
