ScientificName2021,CommonName2021,Family2021,ScientificName2023,CommonName2023,Family2023
Thinornis novaeseelandiae,Shore Plover,Charadriidae,Charadrius novaeseelandiae,Shore Plover,Charadriidae
Charadrius morinellus,Eurasian Dotterel,Charadriidae,Eudromias morinellus,Eurasian Dotterel,Charadriidae
Elseyornis melanops,Black-fronted Dotterel,Charadriidae,Charadrius melanops,Black-fronted Dotterel,Charadriidae
Vanellus albiceps,White-headed Lapwing,Charadriidae,Vanellus albiceps,White-crowned Lapwing,Charadriidae
Vanellus cayanus,Pied Lapwing,Charadriidae,Hoploxypterus cayanus,Pied Plover,Charadriidae
Gelochelidon nilotica,Gull-billed Tern,Laridae,,,
,,,Gelochelidon nilotica,Gull-billed Tern,Laridae
,,,Gelochelidon macrotarsa,Australian Tern,Laridae
Columba janthina,Japanese Wood-Pigeon,Columbidae,Columba janthina,Black Wood-Pigeon,Columbidae
Streptopelia picturata,Malagasy Turtle-Dove,Columbidae,Nesoenas picturatus,Malagasy Turtle-Dove,Columbidae
Columba larvata,Lemon Dove,Columbidae,Aplopelia larvata,Lemon Dove,Columbidae
,,,Nesoenas mayeri,Pink Pigeon,Columbidae
Nesoenas mayeri,Pink Pigeon,Columbidae,,,
Nesoenas duboisi,Reunion Pigeon,Columbidae,,,
Streptopelia senegalensis,Laughing Dove,Columbidae,Spilopelia senegalensis,Laughing Dove,Columbidae
Streptopelia chinensis,Spotted Dove,Columbidae,Spilopelia chinensis,Spotted Dove,Columbidae
Streptopelia decaocto,Eurasian Collared-Dove,Columbidae,,,
,,,Streptopelia decaocto,Eurasian Collared-Dove,Columbidae
,,,Streptopelia xanthocycla,Burmese Collared-Dove,Columbidae
Alopecoenas jobiensis,White-bibbed Ground Dove,Columbidae,Pampusana jobiensis,White-bibbed Ground Dove,Columbidae
Alopecoenas kubaryi,Caroline Islands Ground Dove,Columbidae,Pampusana kubaryi,Caroline Islands Ground Dove,Columbidae
Alopecoenas erythropterus,Polynesian Ground Dove,Columbidae,Pampusana erythroptera,Polynesian Ground Dove,Columbidae
Alopecoenas xanthonurus,White-throated Ground Dove,Columbidae,Pampusana xanthonura,White-throated Ground Dove,Columbidae
