CommonNameV3,ScientificNameV3,Recognised
Ruddy Duck,Oxyura jamaicensis,R
White-headed Duck,Oxyura leucocephala,R
Maccoa Duck,Oxyura maccoa,R
Lake Duck,Oxyura vittata,R
Blue-billed Duck,Oxyura australis,R
Musk Duck,Biziura lobata,R
King Penguin,Aptenodytes patagonicus,R
Emperor Penguin,Aptenodytes forsteri,R
Gentoo Penguin,Pygoscelis papua,R
Adelie Penguin,Pygoscelis adeliae,R
Chinstrap Penguin,Pygoscelis antarcticus,R
,Eudyptes chrysocome,NR
Southern Rockhopper Penguin,Eudyptes chrysocome,R
,Eudyptes filholi,NR
Northern Rockhopper Penguin,Eudyptes moseleyi,R
,Eudyptes pachyrhynchus,NR
Fiordland Penguin,Eudyptes pachyrhynchus,R
Snares Penguin,Eudyptes robustus,R
Erect-crested Penguin,Eudyptes sclateri,R
Macaroni Penguin,Eudyptes chrysolophus,R
Royal Penguin,Eudyptes schlegeli,R
Yellow-eyed Penguin,Megadyptes antipodes,R
Little Penguin,Eudyptula minor,R
African Penguin,Spheniscus demersus,R
Humboldt Penguin,Spheniscus humboldti,R
Magellanic Penguin,Spheniscus magellanicus,R
Galapagos Penguin,Spheniscus mendiculus,R
Red-throated Loon,Gavia stellata,R
Arctic Loon,Gavia arctica,R
Pacific Loon,Gavia pacifica,R
Common Loon,Gavia immer,R
Yellow-billed Loon,Gavia adamsii,R
Waved Albatross,Phoebastria irrorata,R
Short-tailed Albatross,Phoebastria albatrus,R
Black-footed Albatross,Phoebastria nigripes,R
Laysan Albatross,Phoebastria immutabilis,R
,Diomedea exulans,NR
Wandering Albatross,Diomedea exulans,R
Antipodean Albatross,Diomedea antipodensis,R
,Diomedea antipodensis,NR
,Diomedea gibsoni,NR
Amsterdam Albatross,Diomedea amsterdamensis,R
Tristan Albatross,Diomedea dabbenena,R
Northern Royal Albatross,Diomedea sanfordi,R
,Diomedea epomophora,NR
Southern Royal Albatross,Diomedea epomophora,R
,Diomedea melanophris,NR
,Diomedea cauta,NR
,Diomedea chlororhynchos,NR
Sooty Albatross,Phoebetria fusca,R
Light-mantled Albatross,Phoebetria palpebrata,R
Black-browed Albatross,Thalassarche melanophrys,R
Campbell Albatross,Thalassarche impavida,R
,Thalassarche cauta,NR
