"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974"
"96","Strix nebulosa","Great Gray Owl","k’úkw","Strigidae","Strigiformes",43.7,20.9,11.3,19.1,60,436,139,297,31.9,262.9,1061.9,"Strix nebulosa","Strix nebulosa","Great Gray Owl","Strigidae","Tlingit",96,"Strigiformes"
"97","Surnia ulula","Northern Hawk Owl","gutguníksh","Strigidae","Strigiformes",23.2,14.1,8.8,14.2,27.2,231.4,89.5,142,38.6,186.4,319.9,"Surnia ulula","Surnia ulula","Northern Hawk Owl","Strigidae","Tlingit",97,"Strigiformes"
"98","Corvus brachyrhynchos","American Crow","ts’axweil","Corvidae","Passeriformes",49.9,33.2,13.9,16.6,55,293.5,106.9,186.2,36.5,167.1,448.8,"Corvus brachyrhynchos","Corvus brachyrhynchos","American Crow","Corvidae","Tlingit",98,"Passeriformes"
"99","Turdus migratorius","American Robin","shoox’","Turdidae","Passeriformes",23.4,12.5,5.6,6.8,32.7,127,36.9,90.3,29,95.7,78.5,"Turdus migratorius","Turdus migratorius","American Robin","Turdidae","Tlingit",99,"Passeriformes"
"100","Riparia riparia","Bank Swallow","séewkooshdaneit","Hirundinidae","Passeriformes",9.4,5,3.7,2.5,10.5,101.8,54,47.9,53,47.2,12.7,"Riparia riparia","Riparia riparia","Bank Swallow","Hirundinidae","Tlingit",100,"Passeriformes"
"101","Strix varia","Barred Owl","jinakaxwájaa","Strigidae","Strigiformes",38.8,21.6,11.2,19.6,60.1,341.2,101,240.2,29.6,218.3,711.5,"Strix varia","Strix varia","Barred Owl","Strigidae","Tlingit",101,"Strigiformes"
"102","Branta bernicla","Brant","kín","Anatidae","Anseriformes",40.7,21.5,14.8,13.5,55.2,319.6,167.7,152.7,52.3,94,1277.9,"Branta bernicla","Branta bernicla","Brant Goose","Anatidae","Tlingit",102,"Anseriformes"
"103","Branta canadensis","Canada Goose","t’aawák","Anatidae","Anseriformes",50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,"Branta canadensis","Branta canadensis","Canada Goose","Anatidae","Tlingit",103,"Anseriformes"
"104","Chordeiles minor","Common Nighthawk","yaanashgeigí","Caprimulgidae","Caprimulgiformes",12.7,6.1,3.3,2.7,16.7,192.8,118.7,76.6,60.7,104,79.3,"Chordeiles minor","Chordeiles minor","Common Nighthawk","Caprimulgidae","Tlingit",104,"Caprimulgiformes"
"105","Junco hyemalis","Dark-eyed Junco","t’áat’","Passerellidae","Passeriformes",11.6,7.8,4.5,5.3,21.1,75.2,16.4,58.6,21.9,63.8,19.5,"Junco hyemalis","Junco hyemalis","Northern Junco","Fringillidae","Tlingit",105,"Passeriformes"
"106","Catharus minimus","Gray-cheeked Thrush","ts’ats’ée tlein","Turdidae","Passeriformes",16.4,9.2,4.5,4,30,100.8,30.7,68.9,30.8,69.2,31.6,"Catharus minimus","Catharus minimus","Gray-cheeked Thrush","Turdidae","Tlingit",106,"Passeriformes"
"107","Bubo virginianus","Great Horned Owl","tsísk’w","Strigidae","Strigiformes",42.2,22.5,14.9,22.8,70.1,351.7,112.9,240.9,32,188.4,1354.5,"Bubo virginianus","Bubo virginianus","Great Horned Owl","Strigidae","Tlingit",107,"Strigiformes"
"108","Brachyramphus marmoratus","Marbled Murrelet","káax","Alcidae","Charadriiformes",24.9,14.4,4.1,5.8,15.2,123.5,72.2,51.2,58.4,31,220,"Brachyramphus marmoratus","Brachyramphus marmoratus","Marbled Murrelet","Alcidae","Tlingit",108,"Charadriiformes"
"109","Zenaida macroura","Mourning Dove","gus’yá kindachooneidí","Columbidae","Columbiformes",19.6,9.3,2.7,3.4,19.6,144.4,53.1,91.6,36.6,122.2,118.9,"Zenaida macroura","Zenaida macroura","Mourning Dove","Columbidae","Tlingit",109,"Columbiformes"
"110","Colaptes auratus","Northern Flicker","kóon","Picidae","Piciformes",40.2,29.4,8.5,7.9,28.7,156.9,38.3,119.2,24.3,109.5,131.5,"Colaptes auratus","Colaptes auratus","Common Flicker","Picidae","Tlingit",110,"Piciformes"
"111","Accipiter striatus","Sharp-shinned Hawk","k’ákw","Accipitridae","Accipitriformes",18.3,10.1,7.3,9.4,49.9,181.6,56.6,126.8,30.7,134.3,130.6,"Accipiter striatus","Accipiter striatus","Sharp-shinned Hawk","Accipitridae","Tlingit",111,"Falconiformes"
"112","Melanitta deglandi","White-winged Scoter","wakkals’óox’ gáaxw","Anatidae","Anseriformes",46.8,28.9,27.2,14.7,42.8,270,134.5,135.5,49.8,76.5,1800.2,"Melanitta fusca","Melanitta deglandi","White-winged Scoter","Anatidae","Tlingit",112,"Anseriformes"
"113","Lagopus lagopus","Willow Ptarmigan","x’eis’awáa","Phasianidae","Galliformes",22.8,11.5,9.1,10.8,35.6,195.6,75.7,118.3,39,108.8,566.9,"Lagopus lagopus","Lagopus lagopus","Willow Ptarmigan","Tetraonidae","Tlingit",113,"Galliformes"
"114","Patagioenas fasciata","Band-tailed Pigeon","gus’yá kindachooneidí","Columbidae","Columbiformes",25.5,15.1,6,6.1,26.5,205.4,73.8,131.3,36,141.5,366.3,"Patagioenas fasciata","Columba fasciata","Band-tailed Pigeon","Columbidae","Tlingit",114,"Columbiformes"
"115","Pica hudsonia","Black-billed Magpie","ts’eigeenéi","Corvidae","Passeriformes",38.6,24.7,11.1,12.9,47.7,202.8,49.6,152.1,24.6,262,177.1,"Pica pica","Pica pica","Black-billed Magpie","Corvidae","Tlingit",115,"Passeriformes"
"116","Setophaga petechia","Yellow Warbler","asx’aansháach’i","Parulidae","Passeriformes",11.7,8,3.4,3.2,20,60.2,14.1,45.7,23.6,43.3,10.2,"Dendroica petechia","Dendroica petechia","Yellow Warbler","Parulidae","Tlingit",116,"Passeriformes"
"117","Picoides dorsalis","American Three-toed Woodpecker","gandaadagóogu","Picidae","Piciformes",26.9,22.7,8.6,6.8,19.3,118.2,34.1,87.4,28,77.8,65.5,"Picoides dorsalis","Picoides tridactylus","Northern Three-toed Woodpecker","Picidae","Tlingit",117,"Piciformes"
"118","Branta hutchinsii","Cackling Goose","t’aawák","Anatidae","Anseriformes",42.1,20.9,17.1,12.3,71,396.3,176.6,219.7,44.5,120.7,2811.7,"Branta hutchinsii","Branta canadensis","Canada Goose","Anatidae","Tlingit",118,"Anseriformes"
"119","Hydrobates leucorhous","Leach's Storm-Petrel","ganook","Hydrobatidae","Procellariiformes",17.8,10.6,3.1,4.5,23.1,150.4,88.2,62,58.8,75.4,36.7,"Oceanodroma leucorhoa","Oceanodroma leucorhoa","Leach's Storm Petrel","Hydrobatidae","Tlingit",119,"Procellariiformes "
"120","Larus brachyrhynchus","Short-billed Gull","kootl’éet’aa","Laridae","Charadriiformes",47.8,16.6,5.5,10.1,49.4,351,206.2,145.9,58.6,133.8,412.5,"Larus canus","Larus canus","Mew Gull","Laridae","Tlingit",120,"Charadriiformes"
"121","Accipiter atricapillus","American Goshawk","k’ákw","Accipitridae","Accipitriformes",33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866,"Accipiter gentilis","Accipiter gentilis","Goshawk","Accipitridae","Tlingit",121,"Falconiformes"
"122","Circus hudsonius","Northern Harrier","k’ákw","Accipitridae","Accipitriformes",31.1,17.2,10.1,13.2,82,360.9,161.1,199.8,44.7,212.9,393,"Circus cyaneus","Circus cyaneus","Marsh Hawk","Accipitridae","Tlingit",122,"Falconiformes"
"123","Stelgidopteryx serripennis","Northern Rough-winged Swallow","séewkooshdaneit","Hirundinidae","Passeriformes",10.4,4.8,3.4,2.5,11.1,107.2,54.7,53.1,50.7,47.6,15.7,"Stelgidopteryx serripennis","Stelgidopteryx ruficollis","Rough-winged Swallow","Hirundinidae","Tlingit",123,"Passeriformes"
