"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974"
"96","Aimophila ruficeps","Rufous-crowned Sparrow","mtsùu","Passerellidae","Passeriformes",14.9,8.2,4.1,5,19.8,59.9,7.7,52.2,12.8,62,18.7,"Aimophila ruficeps","Aimophila ruficeps","Rufous-crowned Sparrow","Fringillidae","Zapotec",96,"Passeriformes"
"97","Catharus occidentalis","Russet Nightingale-Thrush","mguîn̲-guìib-tsár","Turdidae","Passeriformes",20.7,9,3.6,3.8,31.3,88.6,19.2,69.8,21.6,75,26.2,"Catharus occidentalis","Catharus occidentalis","Russet Nightingale-Thrush","Turdidae","Zapotec",97,"Passeriformes"
"98","Sayornis saya","Say's Phoebe","cùchguêr","Tyrannidae","Passeriformes",19.5,11.3,5.4,4.2,20.2,104.4,26.8,77.7,25.6,79.8,20.9,"Sayornis saya","Sayornis saya","Say's Phoebe","Tyrannidae","Zapotec",98,"Passeriformes"
"99","Buteo brachyurus","Short-tailed Hawk","msì","Accipitridae","Accipitriformes",31.1,17,10.4,14.9,53.8,307.6,90,213.3,29.7,171,496,"Buteo brachyurus","Buteo brachyurus","Short-tailed Hawk","Accipitridae","Zapotec",99,"Falconiformes"
"100","Myioborus miniatus","Slate-throated Redstart","mguîn̲-mâ-zhiàn","Parulidae","Passeriformes",11.9,7,4.1,3.3,17.7,63.6,10.6,52,17,64.9,9,"Myioborus miniatus","Myioborus miniatus","Slate-throated Redstart","Parulidae","Zapotec",100,"Passeriformes"
"101","Cyanocitta stelleri","Steller's Jay","cuǐl̲","Corvidae","Passeriformes",33.7,21.1,10.2,9.5,43,145.8,20,125.8,13.7,133.2,128,"Cyanocitta stelleri","Cyanocitta stelleri","Steller's Jay","Corvidae","Zapotec",101,"Passeriformes"
"102","Asio stygius","Stygian Owl","dǎm̲","Strigidae","Strigiformes",41.8,20.3,9.9,17.1,42.5,326.8,132.9,186.1,41.6,173.7,565,"Asio stygius","Asio stygius","Stygian Owl","Strigidae","Zapotec",102,"Strigiformes"
"103","Piranga rubra","Summer Tanager","mguěy","Cardinalidae","Passeriformes",19.2,13.3,8.4,9,19.5,92,27.9,67.4,29.2,71.3,29.1,"Piranga rubra","Piranga rubra","Summer Tanager","Thraupidae","Zapotec",103,"Passeriformes"
"104","Tyrannus crassirostris","Thick-billed Kingbird","cùchguêr","Tyrannidae","Passeriformes",30.1,20.6,12.6,10.3,19.7,126.3,36.3,88.3,29,96.8,55.9,"Tyrannus crassirostris","Tyrannus crassirostris","Thick-billed Kingbird","Tyrannidae","Zapotec",104,"Passeriformes"
"105","Setophaga townsendi","Townsend's Warbler","yěets","Parulidae","Passeriformes",12.4,7.4,3,3.2,18.2,63.8,17.7,46.1,27.8,49.5,8.8,"Dendroica townsendi","Dendroica townsendi","Townsend's Warbler","Parulidae","Zapotec",105,"Passeriformes"
"106","Cathartes aura","Turkey Vulture","pěch","Cathartidae","Cathartiformes",51.5,27.6,14.3,17.2,54,508.5,135.6,369,26.9,244,1518.2,"Cathartes aura","Cathartes aura","Turkey Vulture","Cathartidae","Zapotec",106,"Falconiformes"
"107","Pooecetes gramineus","Vesper Sparrow","wǐt","Passerellidae","Passeriformes",12,7.7,4.9,6.6,20.1,78.6,18.8,60,23.9,59.6,25.7,"Pooecetes gramineus","Pooecetes gramineus","Vesper Sparrow","Fringillidae","Zapotec",107,"Passeriformes"
"108","Tachycineta thalassina","Violet-green Swallow","xlútsǐ","Hirundinidae","Passeriformes",9.9,5,3.6,3,11.3,115.5,63.6,53,54.5,48.1,14.1,"Tachycineta thalassina","Tachycineta thalassina","Violet-green Swallow","Hirundinidae","Zapotec",108,"Passeriformes"
"109","Tyrannus verticalis","Western Kingbird","cùchguêr","Tyrannidae","Passeriformes",21.8,13.5,7.5,6.4,18.3,126.1,41.9,84.3,33.2,89.9,39.6,"Tyrannus verticalis","Tyrannus verticalis","Western Kingbird","Tyrannidae","Zapotec",109,"Passeriformes"
"110","Megascops trichopsis","Whiskered Screech-Owl","mquí","Strigidae","Strigiformes",19.7,9.8,5.1,10.1,24.9,148.8,36,112.7,24.2,77.2,88.3,"Megascops trichopsis","Otus trichopsis","Whiskered Owl","Strigidae","Zapotec",110,"Strigiformes"
"111","Basilinna leucotis","White-eared Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",18.6,14.3,2.4,1.9,3.2,54.3,37.1,17.2,68.4,33.4,3.4,"Hylocharis leucotis","Hylocharis leucotis","White-eared Hummingbird","Trochilidae","Zapotec",111,"Apodiformes"
"112","Lepidocolaptes leucogaster","White-striped Woodcreeper","ârbìtrò","Furnariidae","Passeriformes",36.1,28.1,4,5.6,21.5,115.5,31.9,83,27.8,102.4,36,"Lepidocolaptes leucogaster","Lepidocolaptes leucogaster","White-striped Woodcreeper","Dendrocolaptidae","Zapotec",112,"Passeriformes"
"113","Aeronautes saxatalis","White-throated Swift","xlútsǐ","Apodidae","Caprimulgiformes",7,3,2.9,2.5,10.6,140.3,98.2,42.1,69.8,63.7,32.1,"Aeronautes saxatalis","Aeronautes saxatalis","White-throated Swift","Apodidae","Zapotec",113,"Apodiformes"
"114","Melozone albicollis","White-throated Towhee","chûurr","Passerellidae","Passeriformes",16,10.6,6,8.4,26.6,81,9.7,71.3,11.9,89.2,46.4,"Pipilo albicollis","Pipilo albicollis","White-throated Towhee","Fringillidae","Zapotec",114,"Passeriformes"
"115","Leptotila verreauxi","White-tipped Dove","guiès-ró-yù","Columbidae","Columbiformes",19.5,10,3.6,4,27.7,136.7,29.8,104.6,22.1,102.1,146.9,"Leptotila verreauxi","Leptotila verreauxi","White-tipped Dove","Columbidae","Zapotec",115,"Columbiformes"
"116","Cardellina pusilla","Wilson's Warbler","yěets","Parulidae","Passeriformes",11.6,6.6,3.2,3.1,17.9,56.3,11.5,44.1,20.7,48.1,7,"Wilsonia pusilla","Wilsonia pusilla","Wilson's Warbler","Parulidae","Zapotec",116,"Passeriformes"
"117","Junco phaeonotus","Yellow-eyed Junco","mguîn̲-x-còl-nquǐts","Passerellidae","Passeriformes",12.9,8.2,4.6,5.9,21.4,77.7,16.6,61.3,21.2,68,20.4,"Junco phaeonotus","Junco phaeonotus","Mexican Junco","Fringillidae","Zapotec",117,"Passeriformes"
"118","Setophaga coronata","Yellow-rumped Warbler","wǐt","Parulidae","Passeriformes",13.1,7.2,3.3,3.4,18.7,73.8,18.8,55.2,25.4,56.5,11.9,"Dendroica coronata","Dendroica coronata","Yellow-rumped Warbler","Parulidae","Zapotec",118,"Passeriformes"
"119","Buteo albonotatus","Zone-tailed Hawk","msì","Accipitridae","Accipitriformes",35.1,21.1,12.7,16.9,70.4,398,159.7,236.7,40.3,217,745.9,"Buteo albonotatus","Buteo albonotatus","Zone-tailed Hawk","Accipitridae","Zapotec",119,"Falconiformes"
